,0
p3x力,-465950.7086281301
p3y力,2497804.7994290995
p3力,2540893.323011043
p5p4x力,386706.7713478463
p5p4y力,3000000.0
p5p4力,3024821.007432717
角度,0.12819535360980971
p1p2x力,-852657.4799759764
p1p2y力,-502195.2005709004
p1p2力,-989557.8798814294
夹角,-4.032008754114543
角度2,0.5322745380155127
thr1,5.070530542893926
thr2,2.6093181155742804
thr6,4.58419362677488
