凸轮转角,凸轮x,凸轮y
0.0,0.0,360.0
0.6100000000000001,-3.844728217337639,359.97958582073727
1.2200000000000002,-7.713096359835409,359.9183063745927
1.83,-11.604548133707361,359.816127500987
2.4400000000000004,-15.51844736355892,359.67304417515794
3.0500000000000003,-19.454079386241723,359.48908121872864
3.6600000000000006,-23.410652645960788,359.2642935700538
4.2700000000000005,-27.387300482278523,358.99876612769503
4.880000000000001,-31.383083106851803,358.692613186058
5.49,-35.396989768489114,358.3459774874748
6.1,-39.42794110925467,357.9590289198235
6.71,-43.474791716731396,357.5319628931056
7.319999999999999,-47.53633287907691,357.064998432248
7.929999999999999,-51.61129555009494,356.558376026703
8.54,-55.69835353116717,356.01235528016076
9.149999999999999,-59.79612687556191,355.42721240581795
9.760000000000002,-63.90318551840715,354.80323761410426
10.370000000000001,-68.01805313258376,354.1407324405221
10.980000000000002,-72.13921120709156,353.44000706124655
11.590000000000002,-76.26510334022782,352.7013776433314
12.200000000000003,-80.39413973538936,351.9251637747501
12.810000000000002,-84.52470188266511,351.1116860170618
13.420000000000003,-88.6551474048436,350.2612636202442
14.030000000000003,-92.78381504222654,349.3742124352174
14.640000000000006,-96.90902974691413,348.4508430548576
15.250000000000004,-101.0291078541797,347.4914592089531
15.860000000000005,-105.14258058803394,346.49631470246055
16.470000000000006,-109.24885239375475,345.4654898796416
17.080000000000005,-113.3475458317073,344.39902107386285
17.690000000000005,-117.43828307978399,343.29694300787014
18.300000000000004,-121.52068590540256,342.1592888388712
18.910000000000007,-125.59437563582414,340.986090212151
19.520000000000007,-129.6589731266158,339.7773773231683
20.130000000000006,-133.71409872810665,338.53317898806165
20.740000000000013,-137.75937224971682,337.25352272248114
21.350000000000012,-141.79441292206508,335.93843482863963
21.96000000000001,-145.81883935679667,334.5879404904621
22.57000000000001,-149.83226950410017,333.2020638766953
23.180000000000014,-153.83432060791947,331.7808282518258
23.790000000000013,-157.8246091588983,330.3242560946335
24.400000000000013,-161.8027508451286,328.83236922419957
25.010000000000012,-165.76836050080857,327.3051889331696
25.620000000000015,-169.72105205294807,325.7427361280586
26.230000000000015,-173.6604384662918,324.14503147637447
26.840000000000014,-177.58613168666253,322.51209556032217
27.450000000000014,-181.4977425829545,320.84394903683915
28.060000000000016,-185.39488088803782,319.1406128037028
28.670000000000016,-189.2771551388596,317.40210817144066
29.280000000000015,-193.14417261605212,315.6284570407613
29.890000000000015,-196.99553928338133,313.8196820852205
30.500000000000018,-200.83085972738846,311.97580693882344
31.110000000000017,-204.64973709759516,310.0968563882586
31.720000000000017,-208.4517730476576,308.1828565694519
32.33000000000002,-212.23656767786787,306.2338351681233
32.94000000000002,-216.00371947940974,304.24982162401767
33.55000000000002,-219.75282528078426,302.23084733848447
34.16000000000002,-223.4834801968243,300.1769458850661
34.77000000000002,-227.19527758071854,298.0881532227569
35.38000000000002,-230.8878089794666,295.96450791158765
35.990000000000016,-234.56066409318072,293.8060513301856
36.60000000000002,-238.2134307386459,291.6128278949593
37.21000000000002,-241.84569481754235,289.3848852805516
37.82000000000002,-245.4570402897201,287.122274641202
38.43000000000002,-249.0470491519091,284.8250508326589
39.04000000000002,-252.6153014222271,282.49327263427676
39.65000000000002,-256.1613751308361,280.1270029709354
40.26000000000002,-259.6848463170758,277.72630913441265
40.87000000000002,-263.1852890333867,275.29126300384524
41.480000000000025,-266.6622753563091,272.8219412649089
42.090000000000025,-270.1153754048277,270.31842562734937
42.700000000000024,-273.54415736629994,267.7808030404958
43.31000000000003,-276.94818753018967,265.2091659063904
43.92000000000003,-280.327030329794,262.6036122901656
44.53000000000003,-283.68024839213103,259.96424612730556
45.14000000000003,-287.0074025961234,257.29117742742744
45.75000000000003,-290.3080521391907,254.58452247422247
46.360000000000035,-293.58175461232895,251.84440402119887
46.970000000000034,-296.8280660837338,249.07095148287289
47.580000000000034,-300.0465411909907,246.26430112105677
48.19000000000003,-303.23673324182903,243.42459622590005
48.80000000000003,-306.3981943234095,240.5519872913435
49.41000000000003,-309.530475420083,237.6466321846515
50.02000000000003,-312.63312653953597,234.70869630969668
50.63000000000003,-315.70569684720476,231.73835276367652
51.24000000000004,-318.7477348088189,228.73578248694992
51.85000000000004,-321.75878834090355,225.70117440569197
52.460000000000036,-324.73840496904864,222.63472556707313
53.070000000000036,-327.68613199372356,219.53664126667883
53.680000000000035,-330.6015166633953,216.40713516789933
54.290000000000035,-333.484106354683,213.24642941302858
54.900000000000034,-336.33344875925883,210.05475472582455
55.51000000000003,-339.14909207718426,206.83235050529714
56.12000000000004,-341.9305852163494,203.57946491050268
56.73000000000004,-344.67747799766516,200.29635493614117
57.34000000000004,-347.38932136563596,196.98328647876423
57.95000000000004,-350.0656676039273,193.640534393423
58.56000000000004,-352.7060705555233,190.268382540596
59.17000000000004,-355.31008584705523,186.86712382326277
59.78000000000004,-357.87727111686837,183.4370602139982
60.390000000000036,-360.40718624638095,179.97850277198955
61.00000000000004,-362.8993935942798,176.49177164989334
61.61000000000004,-365.3534582330831,172.9771960904708
62.22000000000005,-367.76894818759797,169.4351144129609
62.83000000000005,-370.14543467478717,165.86587398917294
63.44000000000005,-372.4824923445575,162.26983120930018
64.05000000000005,-374.7796995209768,158.64735143747959
64.66000000000005,-377.03663844342276,154.9988089571451
65.27000000000005,-379.2528955071661,151.32458690624492
65.88000000000005,-381.42806150289096,147.62507720241558
66.49000000000005,-383.5617318546549,143.9006804582301
67.10000000000005,-385.6535068557966,140.1518058866602
67.71000000000005,-387.7029919023017,136.3788711969157
